grin,773,7.40,1.87,5.27,2.64,6.00,1.86,13
honest,210,7.70,1.43,5.32,1.92,6.24,2.13,47
gripe,774,3.14,1.56,5.00,2.19,4.67,1.79,.
honey,792,6.73,1.70,4.51,2.25,5.44,1.47,25
guillotine,196,2.48,2.11,6.56,2.54,4.64,2.63,.
honor,211,7.66,1.24,5.90,1.83,6.70,2.04,66
guilty,197,2.63,1.98,6.04,2.76,3.09,2.22,29
hooker,793,3.34,2.31,4.93,2.82,4.73,2.48,.
gun,593,3.47,2.48,7.02,1.84,3.53,2.72,118
hope,794,7.05,1.96,5.44,2.47,5.52,2.20,178
gymnast,515,6.35,1.79,5.02,2.20,5.31,1.79,1
hopeful,212,7.10,1.46,5.78,2.09,5.41,1.92,12
habit,775,4.11,1.77,3.95,2.11,4.30,1.79,23
horror,213,2.76,2.25,7.21,2.14,4.63,2.70,17
hairdryer,561,4.84,0.84,3.71,1.75,5.57,1.27,.
horse,214,5.89,1.55,3.89,2.17,4.67,1.60,117
hairpin,776,5.26,1.45,3.27,2.41,5.05,1.32,1
hospital,215,5.04,2.45,5.98,2.54,4.69,2.16,110
hamburger,777,6.27,1.50,4.55,2.14,5.32,1.21,6
hostage,216,2.20,1.80,6.76,2.63,2.83,2.32,2
hammer,198,4.88,1.16,4.58,2.02,4.75,1.88,9
hostile,217,2.73,1.50,6.44,2.28,4.85,2.58,19
hand,778,5.95,1.38,4.40,2.07,5.35,1.49,431
hotel,795,6.00,1.77,4.80,2.53,5.12,1.84,126
handicap,779,3.29,1.69,3.81,2.27,4.00,2.24,6
house,563,7.26,1.72,4.56,2.41,6.08,2.12,591
handsome,199,7.93,1.47,5.95,2.73,5.19,2.22,40
hug,218,8.00,1.55,5.35,2.76,5.79,2.41,3
haphazard,780,4.02,1.41,4.07,2.18,4.29,1.67,2
humane,796,6.89,1.70,4.50,1.91,5.70,1.91,5
happy,200,8.21,1.82,6.49,2.77,6.63,2.43,98
humble,219,5.86,1.42,3.74,2.33,4.76,2.25,18
hard,781,5.22,1.82,5.12,2.19,5.59,1.63,202
humiliate,797,2.24,1.34,6.14,2.42,2.60,1.94,.
hardship,782,2.45,1.61,4.76,2.55,4.22,2.40,9
humor,220,8.56,0.81,5.50,2.91,6.08,2.14,47
hat,783,5.46,1.36,4.10,2.00,5.39,1.43,56
hungry,221,3.58,2.01,5.13,2.44,4.68,2.05,23
hate,201,2.12,1.72,6.95,2.56,5.05,2.95,42
hurricane,798,3.34,2.12,6.83,2.06,3.07,2.18,8
hatred,202,1.98,1.92,6.66,2.56,4.30,2.76,20
hurt,222,1.90,1.26,5.85,2.49,3.33,2.22,37
hawk,536,5.88,1.62,4.39,2.29,5.50,1.69,14
hydrant,564,5.02,0.93,3.71,1.75,5.53,1.30,.
hay,784,5.24,1.24,3.95,2.58,5.37,1.64,19
icebox,799,4.95,1.00,4.17,2.11,5.05,1.05,3
headache,203,2.02,1.06,5.07,2.74,3.60,1.98,5
idea,800,7.00,1.34,5.86,1.81,6.26,2.00,195
headlight,785,5.24,1.51,3.81,2.22,4.88,1.47,.
identity,801,6.57,1.99,4.95,2.24,6.40,1.89,55
heal,786,7.09,1.46,4.77,2.23,5.79,1.80,2
idiot,223,3.16,1.91,4.21,2.47,3.18,2.13,2
health,204,6.81,1.88,5.13,2.35,5.83,1.91,105
idol,802,6.12,1.86,4.95,2.14,5.37,2.17,7
heart,787,7.39,1.53,6.34,2.25,5.49,2.11,173
ignorance,803,3.07,2.25,4.39,2.49,4.41,2.38,16
heaven,205,7.30,2.39,5.61,3.20,6.15,2.56,43
illness,804,2.48,1.40,4.71,2.24,3.21,1.85,20
hell,788,2.24,1.62,5.38,2.62,3.24,2.36,95
imagine,805,7.32,1.52,5.98,2.14,7.07,1.99,61
helpless,206,2.20,1.42,5.34,2.52,2.27,1.83,21
immature,806,3.39,1.70,4.15,1.96,4.85,2.20,7
heroin,789,4.36,2.73,5.11,2.72,4.80,2.54,2
immoral,807,3.50,2.16,4.98,2.48,4.66,2.33,5
